# q_index  q(1/Ang)  omega_L(meV)  gamma_L(meV)  omega_T(meV)  gamma_T(meV)
4 0.06775039 9.19366741 711.08101872 5.23157076 826.77904385
6 0.10162559 0.79654030 2.85675444 2.75776732 5.51554059
10 0.16937599 2.86535394 1.17416970 1.40985088 0.43110462
11 0.18631358 3.11528821 0.90754221 1.56418454 0.57010245
12 0.20325118 3.61054129 1.54158454 1.72735686 0.59233503
13 0.22018878 3.80450402 1.77113668 1.41890661 3.14869743
14 0.23712638 4.26305910 2.25710184 2.05921179 0.81929825
15 0.25406398 4.58526060 2.13427149 2.17347631 0.98930792
16 0.27100158 4.80307578 2.41949252 2.32684246 1.08480308
17 0.28793918 5.03808686 3.09461683 2.51118570 1.39830928
18 0.30487677 5.46985996 3.26708100 2.59030195 1.22730235
19 0.32181437 5.89856887 3.49727146 2.67958522 1.36248791
20 0.33875197 6.22300550 3.74119068 2.81888105 1.37839180
21 0.35568957 6.51824540 4.18522214 3.00922937 1.57665489
22 0.37262717 6.85631282 4.21988764 3.13549820 1.67987208
23 0.38956477 6.97726556 4.41524084 3.30317869 2.02535098
24 0.40650237 7.45133845 4.39551699 3.40722147 2.05625761
25 0.42343997 7.48434540 4.67993360 3.50263601 2.21200128
26 0.44037756 7.83337459 5.37363923 3.81186392 2.38041358
27 0.45731516 8.30522288 5.10593747 3.77974137 2.42117622
28 0.47425276 8.35731258 5.80658419 3.90441190 2.58052249
29 0.49119036 8.72172601 6.09364094 4.09413262 2.64071816
30 0.50812796 9.18250718 6.41505161 4.19674716 2.85546224
31 0.52506556 9.50399151 6.70121342 4.34939075 3.05994778
32 0.54200316 9.49068945 7.11315986 4.41374487 3.15853221
33 0.55894075 10.38044285 6.88330432 4.63651048 3.26927393
34 0.57587835 10.26479034 7.08339081 4.65287568 3.40754439
35 0.59281595 10.89615366 7.36775745 4.94048605 3.47098646
36 0.60975355 11.29836605 7.00118116 4.93030712 3.55999982
37 0.62669115 11.37329158 7.74277707 5.04395053 3.76637261
38 0.64362875 12.05430346 7.39339227 5.13903105 3.89781282
39 0.66056635 12.07751443 7.41515908 5.27295137 4.04823140
40 0.67750394 12.40299540 7.28185173 5.35014631 4.12109695
41 0.69444154 12.76826483 7.25278970 5.60398555 4.50506465
42 0.71137914 12.77750899 7.38470663 5.58336354 4.37041347
43 0.72831674 13.25620480 7.20692395 5.72443321 4.57217593
44 0.74525434 13.27808604 7.27804984 5.87340619 4.80301764
45 0.76219194 13.43717545 7.10536343 5.94279845 4.93760108
46 0.77912954 13.61898784 6.89902020 5.89976090 4.82839258
47 0.79606713 13.68200902 7.10760946 6.10552094 5.13624417
48 0.81300473 13.77460619 7.38424329 6.19630406 5.21200528
49 0.82994233 13.96176963 7.40953781 6.37550636 5.30250540
50 0.84687993 14.08028247 7.21260911 6.32535427 5.41955339
51 0.86381753 14.09007077 7.09743073 6.51718184 5.55388074
52 0.88075513 14.23207288 7.39100509 6.55920302 5.65693801
53 0.89769273 14.07113089 7.34631357 6.61251668 5.82015199
54 0.91463032 14.19045743 7.25690552 6.72155538 5.85487309
55 0.93156792 14.30727421 7.51452437 6.79685734 5.93798425
56 0.94850552 14.00132094 7.63377711 6.77930904 6.19277541
57 0.96544312 14.10997499 7.52972245 6.91145379 6.29428167
58 0.98238072 13.92815690 7.51067176 7.02744629 6.35882615
59 0.99931832 13.95859423 7.55961598 7.03814407 6.35385145
